"white.king.file","white.king.rank","white.rook.file","white.rook.rank","black.king.file","black.king.rank","moves.to.win"
2,1,5,8,4,6,"fourteen"
4,4,5,5,1,1,"seven"
4,3,7,4,3,8,"eleven"
4,2,2,5,5,7,"twelve"
4,2,2,8,8,2,"eight"
4,2,4,4,1,7,"nine"
4,3,5,1,7,5,"eleven"
2,2,6,4,8,5,"twelve"
4,1,3,2,2,2,"eleven"
3,1,1,3,8,4,"thirteen"
3,1,7,5,3,7,"thirteen"
2,1,4,6,7,1,"nine"
4,3,5,8,6,3,"eleven"
4,1,8,2,4,6,"fourteen"
3,2,3,6,5,5,"fifteen"
3,2,3,8,8,7,"thirteen"
2,2,6,5,7,5,"draw"
4,1,2,4,1,3,"draw"
3,2,8,8,6,7,"thirteen"
4,2,7,3,1,5,"eleven"
4,2,4,1,4,8,"twelve"
4,2,1,7,2,6,"draw"
3,2,5,4,1,4,"eleven"
3,2,4,6,7,3,"thirteen"
4,2,1,7,1,4,"eleven"
1,1,8,5,6,5,"fifteen"
4,2,2,7,3,8,"draw"
3,3,6,3,8,1,"eight"
2,1,5,8,6,7,"draw"
2,1,7,5,5,4,"fourteen"
4,2,3,2,7,6,"thirteen"
3,1,6,7,3,4,"fifteen"
3,1,8,3,8,6,"thirteen"
2,2,7,6,4,4,"fifteen"
2,1,8,8,8,4,"thirteen"
4,1,2,4,7,8,"twelve"
1,1,1,4,6,5,"fifteen"
1,1,7,4,5,3,"thirteen"
4,3,7,7,8,7,"draw"
4,1,3,4,3,7,"fourteen"
2,1,3,4,8,1,"nine"
4,1,2,4,8,6,"fourteen"
2,2,3,5,7,3,"twelve"
4,3,3,8,2,2,"six"
2,1,2,6,3,6,"draw"
3,1,5,1,8,8,"twelve"
3,1,8,8,7,3,"fourteen"
4,2,6,7,7,8,"draw"
3,1,2,5,8,8,"thirteen"
3,2,6,4,3,7,"thirteen"
4,3,1,3,3,6,"twelve"
4,3,7,7,7,3,"twelve"
3,1,7,1,4,4,"fifteen"
4,4,6,3,6,5,"twelve"
4,2,4,7,3,6,"draw"
2,1,7,2,3,4,"fifteen"
4,3,6,7,4,1,"two"
4,2,2,7,2,5,"fourteen"
2,1,8,2,5,4,"fifteen"
4,4,1,4,8,6,"nine"
3,2,4,8,4,6,"thirteen"
3,1,3,6,2,7,"draw"
3,2,1,6,7,1,"eight"
4,1,2,8,3,3,"fourteen"
2,1,8,1,5,8,"fourteen"
3,2,7,2,2,8,"eleven"
4,3,6,8,4,1,"two"
3,1,8,4,4,8,"fourteen"
4,2,6,8,6,7,"draw"
3,2,4,4,6,5,"twelve"
2,1,2,8,2,4,"fourteen"
3,2,1,3,8,6,"thirteen"
3,1,8,8,6,4,"fourteen"
4,1,5,3,3,8,"thirteen"
4,4,6,4,2,2,"eight"
1,1,2,3,8,4,"fifteen"
3,3,5,1,7,3,"twelve"
4,3,2,6,7,7,"ten"
3,2,6,5,4,5,"fourteen"
2,1,4,1,5,4,"fifteen"
4,4,5,3,6,3,"ten"
4,2,2,5,2,6,"draw"
4,1,2,7,6,7,"fifteen"
3,1,7,3,6,8,"fourteen"
4,3,8,4,2,5,"ten"
3,2,5,2,3,4,"thirteen"
1,1,1,8,7,5,"fifteen"
4,2,7,3,5,7,"thirteen"
3,3,6,7,8,1,"nine"
4,3,8,2,1,2,"six"
4,1,2,7,6,5,"fifteen"
3,3,1,4,5,4,"thirteen"
4,4,7,8,4,1,"eight"
2,1,7,1,7,6,"fourteen"
4,3,3,3,7,8,"twelve"
3,2,4,3,1,1,"two"
4,3,8,2,3,6,"twelve"
4,3,5,1,1,8,"nine"
2,1,6,6,1,7,"thirteen"
4,2,8,6,1,3,"ten"
4,3,5,7,7,8,"eight"
3,2,6,2,1,2,"two"
3,2,3,4,2,5,"draw"
3,1,5,1,6,1,"draw"
3,1,3,6,6,4,"fifteen"
4,3,1,5,6,8,"eleven"
4,2,7,4,2,2,"five"
2,2,8,3,8,2,"draw"
3,2,5,4,8,5,"eleven"
4,1,8,8,4,6,"fourteen"
4,3,5,3,2,8,"ten"
4,3,7,6,6,5,"draw"
2,1,8,6,8,3,"fourteen"
2,1,2,4,5,3,"eleven"
3,2,2,3,5,5,"fourteen"
2,1,4,6,1,5,"thirteen"
3,3,1,1,6,2,"ten"
3,2,5,7,8,4,"twelve"
3,1,4,7,5,6,"draw"
2,1,6,2,3,6,"fourteen"
3,3,7,1,8,6,"seven"
3,1,6,5,1,2,"ten"
3,1,8,3,5,6,"fourteen"
3,1,5,6,2,8,"thirteen"
1,1,4,2,4,3,"draw"
3,2,3,8,3,5,"fourteen"
2,2,6,8,7,4,"eleven"
1,1,8,4,7,6,"fifteen"
4,4,6,2,8,1,"four"
2,2,4,6,4,3,"fourteen"
2,1,4,6,5,6,"draw"
3,1,6,8,1,8,"thirteen"
1,1,2,4,7,3,"eleven"
3,3,1,4,6,4,"thirteen"
4,2,2,1,8,5,"eleven"
3,2,5,2,4,6,"twelve"
4,1,4,3,3,3,"draw"
3,2,6,4,8,7,"ten"
4,3,5,3,6,5,"eleven"
4,1,5,3,5,4,"draw"
3,3,2,4,2,1,"three"
4,3,4,7,2,1,"five"
4,2,6,2,2,3,"thirteen"
4,1,6,7,7,7,"draw"
4,3,5,5,7,8,"nine"
4,1,2,7,5,3,"fifteen"
4,1,3,2,6,8,"fourteen"
4,3,6,7,8,3,"ten"
3,1,1,8,6,4,"fourteen"
4,3,4,2,2,1,"four"
2,2,6,7,8,5,"twelve"
4,2,5,6,3,5,"fourteen"
2,1,2,8,7,3,"fourteen"
3,1,2,6,1,3,"eight"
4,1,8,2,2,7,"thirteen"
2,1,7,8,1,6,"thirteen"
3,2,5,2,7,2,"twelve"
3,1,2,7,2,5,"fifteen"
3,2,5,4,6,5,"draw"
2,2,5,5,8,7,"eleven"
2,1,2,2,7,6,"fourteen"
3,2,6,3,8,4,"twelve"
2,2,7,1,8,1,"draw"
3,3,5,6,6,4,"thirteen"
3,1,2,5,3,3,"fourteen"
3,2,1,6,7,1,"eight"
4,2,2,1,8,5,"eleven"
3,2,3,1,3,8,"thirteen"
2,1,5,3,5,1,"nine"
3,1,2,8,2,4,"thirteen"
4,1,2,8,5,7,"fifteen"
1,1,7,1,8,2,"draw"
4,1,6,4,1,3,"five"
4,3,2,4,6,2,"seven"
3,2,7,7,4,7,"fourteen"
2,1,8,2,3,7,"fourteen"
1,1,8,8,4,3,"sixteen"
4,1,4,6,1,5,"thirteen"
3,1,6,5,5,1,"thirteen"
4,2,3,4,5,6,"thirteen"
3,1,8,6,3,5,"fourteen"
3,1,8,4,5,1,"nine"
2,1,7,4,7,1,"eleven"
3,1,1,1,5,3,"fourteen"
4,3,7,1,7,4,"twelve"
4,3,3,3,8,4,"eleven"
3,2,1,1,6,2,"ten"
4,1,4,3,3,5,"twelve"
1,1,7,6,3,3,"sixteen"
3,3,8,4,6,5,"thirteen"
2,1,5,5,6,3,"fourteen"
3,1,7,1,8,4,"eight"
3,1,5,1,3,4,"fourteen"
4,3,8,7,2,4,"eleven"
3,1,8,3,7,1,"eight"
4,1,3,7,1,5,"eleven"
4,2,8,1,1,7,"eleven"
4,3,5,1,2,2,"six"
2,2,3,2,5,4,"fifteen"
4,3,6,6,5,5,"draw"
3,2,4,3,4,8,"thirteen"
4,1,7,1,1,3,"thirteen"
3,2,7,3,7,7,"thirteen"
2,1,1,1,1,7,"thirteen"
4,4,1,5,6,5,"eleven"
2,1,6,2,5,3,"draw"
2,1,3,5,3,6,"draw"
2,1,4,2,1,4,"twelve"
3,2,7,3,1,6,"ten"
3,2,1,3,8,3,"eleven"
1,1,8,3,3,1,"ten"
2,1,8,4,5,3,"eleven"
4,4,8,8,7,5,"eleven"
4,3,5,7,8,5,"ten"
3,1,8,5,6,1,"ten"
3,1,6,8,8,4,"eleven"
3,1,5,2,1,3,"eleven"
4,4,6,6,2,2,"eight"
4,1,2,6,4,4,"fifteen"
4,1,2,7,8,7,"fourteen"
3,1,6,4,3,7,"fourteen"
2,1,8,7,5,2,"thirteen"
4,4,5,3,6,5,"ten"
4,1,1,1,1,2,"draw"
1,1,2,5,6,4,"fourteen"
3,1,7,2,4,6,"fifteen"
4,1,1,2,4,7,"fourteen"
4,2,8,1,3,7,"thirteen"
4,2,1,3,7,7,"thirteen"
2,1,5,6,8,5,"fourteen"
2,1,4,6,3,5,"draw"
4,1,3,1,2,8,"ten"
2,1,4,5,7,4,"fourteen"
2,1,2,2,1,7,"seven"
3,1,4,7,3,7,"draw"
3,3,6,8,4,1,"eight"
4,1,4,3,6,2,"five"
3,1,7,6,8,4,"nine"
4,2,6,5,2,1,"four"
3,2,2,5,8,1,"eight"
3,1,1,3,3,7,"fourteen"
4,1,6,6,5,5,"draw"
3,1,3,5,3,8,"fourteen"
4,1,3,1,7,6,"fourteen"
2,1,3,3,2,6,"ten"
4,4,4,6,3,1,"nine"
4,2,5,5,8,6,"ten"
4,2,2,4,2,2,"four"
4,2,4,4,5,8,"eleven"
3,1,5,7,3,5,"fifteen"
3,1,8,6,6,3,"fourteen"
3,1,1,7,1,1,"zero"
3,1,8,1,8,7,"twelve"
3,2,8,2,4,7,"thirteen"
4,2,2,6,1,6,"draw"
3,2,3,7,3,5,"fourteen"
4,1,8,4,1,8,"ten"
4,2,1,5,7,3,"nine"
4,2,2,4,4,7,"thirteen"
3,3,6,8,2,1,"two"
4,2,8,2,2,3,"thirteen"
4,2,2,2,1,5,"six"
4,1,4,6,2,6,"thirteen"
3,1,3,5,5,8,"fourteen"
2,1,2,5,7,8,"thirteen"
3,2,4,1,8,8,"eleven"
2,1,3,6,4,7,"draw"
4,3,1,6,8,3,"nine"
3,1,3,5,2,6,"draw"
4,3,1,7,8,1,"six"
1,1,7,3,6,5,"sixteen"
2,1,3,1,6,4,"fifteen"
4,2,2,5,3,7,"thirteen"
4,3,7,5,3,6,"eleven"
2,1,4,4,3,3,"draw"
2,1,6,8,4,5,"fifteen"
3,2,4,4,7,2,"eight"
4,3,6,5,1,5,"nine"
3,2,2,6,1,3,"eight"
4,3,7,8,5,7,"thirteen"
2,1,5,8,8,6,"thirteen"
4,3,8,4,6,6,"twelve"
4,1,2,4,4,6,"fifteen"
4,3,5,1,4,6,"eleven"
1,1,3,3,7,7,"sixteen"
4,2,8,7,2,4,"thirteen"
1,1,3,8,6,3,"sixteen"
4,1,1,1,2,7,"fourteen"
3,2,7,2,6,6,"thirteen"
2,2,1,1,8,6,"twelve"
2,1,3,6,7,6,"fifteen"
4,1,3,3,7,8,"twelve"
2,1,2,5,8,2,"eleven"
3,1,8,2,1,6,"eleven"
4,2,4,5,7,1,"six"
1,1,4,8,6,1,"thirteen"
4,1,8,5,8,1,"nine"
3,2,2,5,3,4,"draw"
3,1,2,1,4,6,"fifteen"
3,3,4,6,8,5,"twelve"
3,1,3,8,2,8,"draw"
4,1,3,4,1,1,"six"
3,2,1,3,8,4,"thirteen"
4,2,8,1,7,8,"twelve"
3,1,5,8,7,6,"thirteen"
1,1,2,2,3,2,"sixteen"
4,1,5,5,3,3,"fourteen"
2,2,6,7,8,4,"twelve"
3,3,4,8,7,5,"twelve"
4,3,3,7,8,5,"eleven"
4,1,8,7,3,3,"fourteen"
2,1,4,3,7,8,"fourteen"
3,2,4,2,6,2,"fourteen"
3,1,5,2,6,5,"thirteen"
4,4,7,8,6,2,"ten"
4,1,4,8,5,7,"draw"
3,2,2,4,6,3,"nine"
4,4,5,2,6,6,"eleven"
3,1,5,4,7,7,"eleven"
4,3,6,8,3,1,"five"
1,1,6,2,7,1,"draw"
2,2,5,3,7,2,"nine"
4,2,8,5,1,1,"four"
2,1,3,1,2,3,"eleven"
2,2,8,6,7,1,"twelve"
3,2,3,1,6,5,"fourteen"
3,1,6,4,3,8,"fourteen"
2,1,3,8,5,2,"fifteen"
3,1,5,5,2,6,"fourteen"
4,3,1,2,7,6,"twelve"
4,1,7,7,8,3,"eight"
2,1,6,5,7,6,"draw"
3,2,1,6,8,2,"nine"
4,2,5,8,5,5,"thirteen"
4,1,1,8,7,3,"fourteen"
3,1,6,4,7,7,"ten"
4,1,8,4,2,2,"seven"
4,3,1,6,6,1,"eight"
1,1,4,3,4,4,"draw"
2,1,7,5,4,1,"ten"
3,2,2,7,2,6,"draw"
2,2,7,1,8,5,"nine"
3,1,1,2,7,7,"fourteen"
3,2,7,7,3,4,"fourteen"
3,2,6,2,5,2,"draw"
2,2,1,1,7,1,"nine"
2,2,7,6,8,4,"ten"
1,1,7,3,3,1,"ten"
3,1,7,1,1,5,"thirteen"
4,2,7,2,1,6,"eleven"
4,3,3,7,8,1,"six"
3,1,7,1,8,4,"eight"
3,2,4,4,1,7,"nine"
4,1,1,4,5,6,"fourteen"
4,2,4,4,7,8,"eleven"
3,2,3,6,8,8,"eleven"
3,2,4,6,7,5,"thirteen"
2,1,3,6,2,5,"draw"
4,2,3,8,2,3,"ten"
4,1,2,4,6,4,"fourteen"
3,1,2,7,1,1,"seven"
2,1,8,7,7,6,"draw"
3,1,7,7,8,4,"nine"
1,1,1,2,8,7,"fourteen"
4,2,3,2,1,7,"nine"
1,1,8,8,4,4,"sixteen"
4,4,7,6,6,5,"draw"
3,1,7,4,7,6,"fifteen"
2,1,7,4,6,6,"fifteen"
4,2,2,7,6,6,"thirteen"
3,1,6,2,2,7,"thirteen"
2,2,4,2,5,5,"fourteen"
4,3,2,4,7,4,"eleven"
4,4,1,5,8,1,"seven"
3,3,1,8,6,1,"ten"
2,1,6,3,1,5,"thirteen"
4,2,3,2,8,1,"six"
4,2,7,5,7,8,"twelve"
4,2,4,7,7,6,"thirteen"
2,1,1,4,2,3,"draw"
4,4,7,4,8,4,"draw"
2,1,4,6,7,3,"fifteen"
4,3,1,7,7,2,"eight"
3,1,2,8,5,6,"fifteen"
2,2,3,2,4,4,"fifteen"
4,3,3,5,3,8,"eleven"
4,1,7,2,2,7,"thirteen"
2,1,2,7,5,4,"fifteen"
2,2,8,8,5,3,"fifteen"
4,2,7,7,2,7,"thirteen"
3,2,1,1,8,4,"eleven"
4,3,5,2,6,8,"ten"
4,1,4,2,2,1,"three"
3,1,1,1,4,8,"fourteen"
2,2,2,8,8,4,"thirteen"
4,2,5,4,5,7,"twelve"
3,2,4,5,5,4,"draw"
3,1,7,5,5,2,"fourteen"
4,1,3,3,6,1,"six"
2,2,4,1,5,3,"fourteen"
2,1,4,8,2,3,"thirteen"
3,3,5,6,6,1,"nine"
4,1,8,1,2,1,"five"
4,3,1,4,2,2,"six"
2,2,2,6,4,2,"twelve"
4,3,8,8,1,3,"seven"
4,1,4,8,2,7,"twelve"
4,1,6,3,6,6,"fourteen"
2,1,4,2,4,8,"fourteen"
4,2,1,2,2,7,"thirteen"
4,3,5,8,2,5,"eleven"
4,1,6,1,7,5,"eleven"
4,3,1,2,4,6,"twelve"
4,4,5,7,3,2,"eight"
1,1,4,4,5,1,"eleven"
2,1,2,4,2,6,"fifteen"
2,2,3,6,6,5,"fifteen"
4,2,6,7,8,4,"ten"
4,3,7,3,8,4,"draw"
4,2,8,5,5,7,"twelve"
4,2,2,5,1,5,"draw"
3,1,7,8,2,7,"fourteen"
3,3,2,4,8,2,"eight"
2,1,5,7,7,2,"thirteen"
2,1,8,5,1,8,"twelve"
4,1,1,8,6,6,"fourteen"
4,1,4,7,5,6,"draw"
4,1,4,5,7,1,"six"
3,3,1,1,6,6,"thirteen"
4,1,5,7,8,4,"twelve"
2,1,6,3,5,6,"sixteen"
4,4,7,6,8,5,"draw"
4,1,1,3,8,7,"twelve"
2,1,7,6,7,5,"draw"
4,1,1,7,2,5,"fourteen"
1,1,7,3,3,2,"ten"
4,1,8,8,3,3,"fourteen"
1,1,1,2,8,4,"fourteen"
3,1,5,3,2,4,"fourteen"
4,1,8,3,7,4,"draw"
4,4,3,2,8,5,"nine"
4,2,2,5,7,2,"eight"
1,1,5,2,7,3,"fifteen"
4,3,6,7,2,2,"six"
4,2,3,5,3,4,"draw"
4,2,4,3,4,4,"thirteen"
1,1,5,4,8,4,"fourteen"
3,1,8,6,7,6,"draw"
3,1,7,6,6,6,"draw"
4,4,6,1,6,4,"nine"
4,2,8,2,2,5,"thirteen"
3,2,2,6,5,2,"ten"
4,3,1,7,5,1,"eight"
1,1,3,1,7,3,"fifteen"
3,3,8,6,2,1,"two"
2,2,2,1,5,5,"fourteen"
4,1,5,4,6,8,"eleven"
4,2,2,5,8,8,"eleven"
2,1,7,7,6,5,"sixteen"
3,1,6,5,3,3,"fourteen"
2,1,6,5,2,7,"fourteen"
3,2,2,4,5,4,"thirteen"
3,2,8,2,1,3,"twelve"
1,1,6,2,8,5,"thirteen"
3,1,7,3,2,4,"fourteen"
4,4,1,6,8,5,"nine"
1,1,1,3,7,5,"fifteen"
4,1,4,2,6,4,"fourteen"
4,3,8,7,3,5,"twelve"
4,1,8,6,6,6,"fourteen"
4,3,3,7,6,2,"eight"
2,1,4,7,5,6,"draw"
4,4,8,5,7,6,"draw"
2,1,5,1,4,5,"thirteen"
2,2,3,3,6,6,"fifteen"
2,1,2,3,5,2,"nine"
4,1,7,8,1,1,"five"
2,1,4,7,7,5,"fifteen"
4,1,3,1,5,8,"fourteen"
4,2,7,8,1,2,"five"
3,3,1,8,8,7,"twelve"
4,2,7,5,6,8,"twelve"
4,4,4,3,7,5,"twelve"
3,2,3,4,4,8,"thirteen"
3,2,7,3,7,7,"thirteen"
4,1,1,6,8,2,"eight"
4,1,6,4,6,1,"six"
4,3,3,4,2,5,"eight"
4,4,1,8,8,3,"nine"
1,1,1,8,6,3,"fifteen"
4,3,7,5,1,7,"nine"
2,1,2,8,8,3,"twelve"
3,1,1,3,4,5,"fourteen"
3,1,2,6,8,5,"fourteen"
1,1,5,2,6,6,"fourteen"
4,2,5,7,6,8,"draw"
1,1,6,1,5,4,"fifteen"
2,1,5,1,4,8,"thirteen"
4,2,6,7,1,5,"twelve"
3,1,2,8,8,1,"eight"
1,1,3,2,7,7,"fifteen"
2,2,4,3,7,4,"fourteen"
3,1,5,2,6,2,"draw"
2,1,3,7,8,7,"fifteen"
2,1,1,3,8,1,"eight"
1,1,3,1,5,4,"fifteen"
4,3,6,2,4,8,"twelve"
2,1,4,5,6,7,"fourteen"
3,2,7,4,1,6,"eleven"
2,2,7,7,7,1,"twelve"
4,1,8,2,5,7,"fourteen"
4,3,1,7,8,8,"seven"
1,1,5,5,4,2,"fifteen"
4,3,8,1,4,1,"zero"
4,2,1,6,1,3,"eleven"
4,2,1,5,4,8,"twelve"
3,3,5,8,7,2,"eleven"
4,1,5,5,5,4,"draw"
3,1,6,7,1,3,"twelve"
1,1,4,2,6,6,"fifteen"
2,2,4,7,4,3,"fourteen"
2,2,6,1,7,2,"draw"
3,2,7,4,2,6,"thirteen"
2,1,8,3,2,4,"fifteen"
2,1,7,5,4,8,"fourteen"
4,3,3,3,7,1,"six"
4,2,3,8,6,7,"fourteen"
2,1,3,8,4,4,"fifteen"
2,2,5,6,6,1,"twelve"
3,3,4,7,8,2,"nine"
4,1,1,1,6,6,"fourteen"
4,3,5,1,6,1,"draw"
4,1,3,5,5,5,"fourteen"
2,1,5,3,5,7,"thirteen"
3,1,5,8,2,7,"fourteen"
3,3,8,6,7,6,"draw"
4,1,7,2,5,3,"fourteen"
4,3,1,8,6,3,"nine"
4,2,7,8,7,4,"thirteen"
4,2,3,8,7,1,"six"
2,1,1,6,1,5,"draw"
2,2,6,7,8,2,"eleven"
3,3,7,1,8,3,"nine"
2,1,5,5,1,3,"fourteen"
3,3,6,5,7,5,"draw"
4,2,1,6,8,6,"thirteen"
2,1,5,4,4,3,"draw"
3,1,6,5,6,8,"fourteen"
4,2,6,4,7,4,"draw"
3,1,2,6,6,5,"fifteen"
2,2,1,4,5,4,"fourteen"
3,2,3,7,8,2,"nine"
4,2,3,8,6,1,"six"
3,2,2,2,4,8,"thirteen"
3,3,6,5,5,5,"draw"
4,1,4,4,1,4,"eleven"
3,1,7,2,1,6,"eleven"
4,3,1,6,1,5,"draw"
2,1,8,3,3,5,"fifteen"
4,3,3,4,7,4,"eleven"
3,2,6,3,1,5,"ten"
4,2,5,6,7,6,"thirteen"
3,2,3,5,3,6,"draw"
4,4,2,5,6,3,"nine"
2,2,1,5,4,3,"thirteen"
4,1,8,2,7,4,"fourteen"
3,2,4,3,6,1,"eight"
4,4,1,8,8,2,"eight"
4,3,1,1,1,3,"ten"
4,2,6,3,7,4,"draw"
1,1,3,7,8,4,"fourteen"
3,1,5,6,6,7,"draw"
1,1,2,8,3,1,"thirteen"
3,1,7,8,7,5,"fourteen"
4,2,6,8,3,6,"fourteen"
1,1,3,6,8,4,"fifteen"
1,1,8,3,6,5,"sixteen"
4,3,3,1,6,1,"eight"
3,1,5,2,4,4,"fourteen"
3,1,7,7,4,6,"fifteen"
4,1,1,4,4,4,"fourteen"
4,3,4,4,1,4,"nine"
1,1,3,1,7,5,"fifteen"
1,1,2,6,6,4,"sixteen"
